Motility,Gram staining,Aerophilicity,Extreme environment tolerance,Biofilm formation,Animal pathogenicity,Biosafety level,Health association,Host association,Plant pathogenicity,Spore formation,Hemolysis,Cell shape,Member of WA subset,sample
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,TRUE,NA,bacillus,TRUE,GCF_005889735.1_ASM588973v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_000472965.1_ASM47296v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,tail,TRUE,GCA_014203645.1_ASM1420364v1_genomic.fasta
FALSE,gram stain positive,anaerobic,FALSE,NA,FALSE,biosafety level 1,NA,NA,FALSE,FALSE,NA,NA,TRUE,GCF_008876665.1_ASM887666v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,NA,TRUE,GCA_000383575.1_ASM38357v1_genomic.fasta
TRUE,gram stain positive,anaerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,TRUE,NA,bacillus,TRUE,GCA_017874425.1_ASM1787442v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,NA,FALSE,NA,bacillus,TRUE,GCF_009707515.1_ASM970751v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,NA,FALSE,FALSE,gamma,bacillus,TRUE,GCF_028751155.1_ASM2875115v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,FALSE,TRUE,NA,NA,TRUE,GCA_000013345.1_ASM1334v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_000697965.2_ASM69796v2_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,TRUE,NA,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCA_000828125.2_ASM82812v2_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,TRUE,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_016584445.1_ASM1658444v1_genomic.fasta
TRUE,gram stain negative,NA,FALSE,NA,NA,biosafety level 1,NA,TRUE,TRUE,FALSE,NA,bacillus,TRUE,GCA_000759475.1_ASM75947v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_900141925.1_IMG-taxon_2663762797_annotated_assembly_genomic.fasta
FALSE,gram stain positive,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_021052325.1_ASM2105232v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,tail,TRUE,GCA_021474425.1_ASM2147442v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_005157565.1_ASM515756v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,GCA_013155425.1_ASM1315542v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCF_004919685.1_ASM491968v1_genomic.fasta
TRUE,gram stain negative,NA,FALSE,TRUE,FALSE,biosafety level 1,NA,FALSE,TRUE,FALSE,NA,bacillus,TRUE,GCF_002846995.1_ASM284699v1_genomic.fasta
TRUE,gram stain negative,aerobic,TRUE,NA,FALSE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_032810065.1_ASM3281006v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_029714365.1_ASM2971436v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,NA,FALSE,FALSE,NA,NA,TRUE,GCF_028994805.1_ASM2899480v1_genomic.fasta
FALSE,gram stain positive,aerobic,NA,NA,TRUE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_025823135.1_ASM2582313v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 2,NA,NA,FALSE,FALSE,gamma,bacillus,TRUE,GCF_001553565.1_ASM155356v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,TRUE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_946903285.1_TRV642_V1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,TRUE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_024638035.1_ASM2463803v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,TRUE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_002217445.1_ASM221744v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,TRUE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_002222045.1_ASM222204v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,TRUE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_018383905.1_ASM1838390v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,bacillus,TRUE,GCA_900659615.1_LMG29177_FinalContigs.fasta.gz_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_003815775.1_ASM381577v1_genomic.fasta
TRUE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,coccus,TRUE,GCA_014202615.1_ASM1420261v1_genomic.fasta
TRUE,gram stain negative,aerobic,TRUE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_024494595.1_ASM2449459v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,TRUE,biosafety level 2,NA,TRUE,NA,FALSE,NA,bacillus,TRUE,GCA_015139575.1_ASM1513957v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_004342325.1_ASM434232v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,NA,TRUE,GCA_000514815.1_ASM51481v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,gamma,bacillus,TRUE,GCA_900094625.1_IMG-taxon_2615840624_annotated_assembly_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,gamma,bacillus,TRUE,GCA_017357245.1_ASM1735724v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,gamma,bacillus,TRUE,GCA_017357225.1_ASM1735722v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,gamma,bacillus,TRUE,GCA_017352135.1_ASM1735213v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,beta,NA,TRUE,GCF_034049535.1_ASM3404953v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,tail,TRUE,GCA_023923245.1_ASM2392324v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,TRUE,NA,NA,TRUE,FALSE,FALSE,NA,coccus,TRUE,GCA_000479335.1_ASM47933v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_002155685.1_ASM215568v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_002797715.1_ASM279771v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_000696345.2_ASM69634v2_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,FALSE,FALSE,gamma,bacillus,TRUE,GCA_900103325.1_IMG-taxon_2596583656_annotated_assembly_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,TRUE,NA,bacillus,TRUE,GCA_021654775.1_ASM2165477v1_genomic.fasta
FALSE,gram stain positive,aerobic,NA,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,tail,TRUE,GCA_016804005.1_ASM1680400v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,NA,FALSE,FALSE,NA,NA,TRUE,GCA_900104745.1_IMG-taxon_2636416006_annotated_assembly_genomic.fasta
FALSE,gram stain positive,aerobic,NA,NA,NA,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCA_012223425.1_ASM1222342v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_022576045.1_ASM2257604v1_genomic.fasta
TRUE,gram stain negative,aerobic,TRUE,NA,FALSE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_009846745.1_ASM984674v1_genomic.fasta
TRUE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,TRUE,NA,bacillus,TRUE,GCF_001857925.1_ASM185792v1_genomic.fasta
FALSE,gram stain positive,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_014638185.1_ASM1463818v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,TRUE,NA,bacillus,TRUE,GCA_015645445.1_ASM1564544v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,NA,FALSE,NA,bacillus,TRUE,GCA_000452745.3_ASM45274v3_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_019134595.1_ASM1913459v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_024347655.1_ASM2434765v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,NA,TRUE,GCA_900156065.1_IMG-taxon_2681813563_annotated_assembly_genomic.fasta
TRUE,gram stain positive,aerobic,FALSE,TRUE,NA,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,bacillus,TRUE,GCF_002202015.1_ASM220201v1_genomic.fasta
FALSE,gram stain positive,anaerobic,FALSE,NA,TRUE,biosafety level 2,NA,NA,FALSE,FALSE,NA,coccus,TRUE,GCA_900637915.1_52941_B01_genomic.fasta
TRUE,gram stain negative,facultatively anaerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,TRUE,FALSE,NA,bacillus,TRUE,GCA_015689195.1_ASM1568919v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_002355855.1_ASM235585v1_genomic.fasta
TRUE,gram stain positive,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,bacillus,TRUE,GCF_003217295.1_ASM321729v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,GCF_002906255.1_ASM290625v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,TRUE,NA,NA,TRUE,FALSE,FALSE,gamma,bacillus,TRUE,GCF_002245555.1_ASM224555v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 2,NA,TRUE,TRUE,FALSE,gamma,bacillus,TRUE,GCF_001718415.1_ASM171841v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCA_900199455.1_ICMP_18942_genomic.fasta
FALSE,gram stain positive,aerobic,NA,NA,TRUE,biosafety level 2,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCA_015689175.1_ASM1568917v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_004402975.1_ASM440297v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_021432085.1_ASM2143208v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_001484605.1_ASM148460v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,gamma,bacillus,TRUE,GCA_013283665.1_ASM1328366v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,FALSE,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_002288285.1_ASM228828v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,NA,FALSE,TRUE,NA,NA,TRUE,GCA_900091525.1_IMG-taxon_2622736591_annotated_assembly_genomic.fasta
FALSE,gram stain negative,anaerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,gamma,bacillus,TRUE,GCF_024759285.1_ASM2475928v1_genomic.fasta
FALSE,gram stain negative,aerobic,TRUE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,GCA_031165565.1_ASM3116556v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,gamma,bacillus,TRUE,GCA_011040435.1_ASM1104043v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,gamma,bacillus,TRUE,GCA_900197575.1_IMG-taxon_2690315601_annotated_assembly_genomic.fasta
TRUE,gram stain negative,facultatively anaerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_003966655.1_ASM396665v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,FALSE,FALSE,alpha,coccus,TRUE,GCA_019334785.1_ASM1933478v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,TRUE,biosafety level 2,NA,TRUE,FALSE,FALSE,NA,spirillum,TRUE,GCA_902381655.1_UHGG_MGYG-HGUT-01348_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_900089835.1_VthalassaeCECT8203_Velvet_Prokka_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,gamma,bacillus,TRUE,GCA_018612865.1_ASM1861286v1_genomic.fasta
FALSE,gram stain positive,NA,TRUE,NA,FALSE,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,NA,TRUE,GCF_028994215.1_ASM2899421v1_genomic.fasta
TRUE,gram stain negative,anaerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_000585215.1_Thiorhodococcus_sp._genomic.fasta
FALSE,gram stain positive,NA,TRUE,NA,FALSE,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,NA,TRUE,GCF_007954525.1_ASM795452v1_genomic.fasta
TRUE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_004402215.1_ASM440221v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCF_006711645.1_ASM671164v1_genomic.fasta
TRUE,gram stain negative,aerobic,NA,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,gamma,bacillus,TRUE,GCA_014196505.1_ASM1419650v1_genomic.fasta
FALSE,gram stain positive,aerobic,TRUE,TRUE,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,coccus,TRUE,GCA_019890915.1_ASM1989091v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,GCF_002250745.2_ASM225074v2_genomic.fasta
FALSE,gram stain positive,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,coccus,TRUE,GCF_002871575.2_ASM287157v2_genomic.fasta
FALSE,gram stain positive,aerobic,NA,NA,TRUE,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCF_025821955.1_ASM2582195v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_001693385.1_ASM169338v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,coccus,TRUE,GCF_006094695.1_ASM609469v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_001399455.2_ASM139945v2_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,NA,TRUE,GCF_004217135.1_ASM421713v1_genomic.fasta
FALSE,gram stain positive,facultatively anaerobic,FALSE,TRUE,TRUE,biosafety level 2,NA,TRUE,FALSE,FALSE,NA,NA,TRUE,GCF_026167765.1_ASM2616776v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,gamma,bacillus,TRUE,GCA_015355765.1_ASM1535576v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,TRUE,FALSE,FALSE,gamma,NA,TRUE,GCA_016890025.1_ASM1689002v1_genomic.fasta
FALSE,gram stain positive,NA,FALSE,TRUE,TRUE,biosafety level 2,NA,TRUE,FALSE,FALSE,gamma,NA,TRUE,GCF_006094375.1_ASM609437v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,TRUE,biosafety level 2,NA,NA,FALSE,FALSE,gamma,NA,TRUE,GCA_022870865.1_ASM2287086v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,NA,TRUE,GCA_014203835.1_ASM1420383v1_genomic.fasta
FALSE,gram stain positive,NA,FALSE,TRUE,TRUE,biosafety level 2,NA,TRUE,FALSE,FALSE,beta,NA,TRUE,GCF_001611955.1_ASM161195v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,TRUE,biosafety level 2,NA,TRUE,FALSE,FALSE,gamma,NA,TRUE,GCA_000816085.1_ASM81608v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,TRUE,TRUE,biosafety level 1,NA,FALSE,FALSE,FALSE,beta,coccus,TRUE,GCF_025561465.1_ASM2556146v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 2,NA,TRUE,FALSE,FALSE,gamma,bacillus,TRUE,GCF_024718215.1_ASM2471821v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 2,NA,TRUE,FALSE,FALSE,gamma,bacillus,TRUE,GCF_007655095.1_ASM765509v1_genomic.fasta
TRUE,gram stain negative,aerobic,TRUE,NA,NA,biosafety level 1,NA,NA,FALSE,FALSE,gamma,bacillus,TRUE,GCF_001152565.1_4821_6_12_genomic.fasta
FALSE,gram stain positive,facultatively anaerobic,FALSE,TRUE,TRUE,biosafety level 2,NA,TRUE,FALSE,FALSE,NA,NA,TRUE,GCF_003812505.1_ASM381250v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,NA,biosafety level 1,NA,NA,FALSE,TRUE,NA,bacillus,TRUE,GCA_019396345.1_ASM1939634v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,NA,FALSE,NA,bacillus,TRUE,GCA_023913775.1_ASM2391377v1_genomic.fasta
FALSE,gram stain positive,NA,FALSE,NA,TRUE,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,NA,TRUE,GCF_003571725.1_ASM357172v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,TRUE,FALSE,FALSE,gamma,coccus,TRUE,GCF_029774255.1_ASM2977425v1_genomic.fasta
TRUE,gram stain positive,aerobic,NA,NA,NA,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,bacillus,TRUE,GCA_012295505.1_ASM1229550v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,TRUE,FALSE,FALSE,beta,NA,TRUE,GCA_900187005.1_50569_B01_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,TRUE,biosafety level 2,NA,TRUE,FALSE,FALSE,NA,NA,TRUE,GCA_900458895.2_GCA_900458895_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,TRUE,FALSE,FALSE,gamma,coccus,TRUE,GCF_002209165.2_ASM220916v2_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,NA,FALSE,NA,bacillus,TRUE,GCF_030370465.1_ASM3037046v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_900101085.1_IMG-taxon_2639762651_annotated_assembly_genomic.fasta
FALSE,gram stain positive,aerobic,TRUE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,GCA_011604805.1_ASM1160480v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,NA,FALSE,TRUE,NA,NA,TRUE,GCA_000400635.2_ASM40063v2_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCF_001440415.1_ASM144041v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCF_024809475.1_ASM2480947v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCF_003253745.1_ASM325374v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCF_002270415.1_ASM227041v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,TRUE,FALSE,FALSE,NA,bacillus,TRUE,GCF_003601975.1_ASM360197v1_genomic.fasta
FALSE,gram stain negative,aerobic,FALSE,NA,TRUE,biosafety level 1,NA,NA,FALSE,FALSE,NA,bacillus,TRUE,GCA_900142445.1_IMG-taxon_2700988715_annotated_assembly_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,NA,TRUE,GCA_000484695.1_ASM48469v1_genomic.fasta
FALSE,gram stain positive,aerobic,FALSE,NA,FALSE,biosafety level 1,NA,FALSE,FALSE,TRUE,NA,tail,TRUE,GCA_000376565.1_ASM37656v1_genomic.fasta
TRUE,gram stain negative,aerobic,FALSE,NA,NA,biosafety level 1,NA,FALSE,FALSE,FALSE,NA,bacillus,TRUE,GCA_000498975.2_ASM49897v2_genomic.fasta
